"chr","from","to","bkpt_in_window_ESAD","bkpt_in_window_GACA","bkpt_in_window_LIRI","bkpt_in_window_MALY","bkpt_in_window_OV","bkpt_in_window_PACA","bkpt_in_window_RECA","total_bkpt_in_window_ESAD","total_bkpt_in_window_GACA","total_bkpt_in_window_LIRI","total_bkpt_in_window_MALY","total_bkpt_in_window_OV","total_bkpt_in_window_PACA","total_bkpt_in_window_RECA","density_ESAD","density_GACA","density_LIRI","density_MALY","density_OV","density_PACA","density_RECA"
"1",2.2e+07,22500000,27,8,10,0,29,12,0,3174,846,4562,734,3418,3028,117,0.00850661625708885,0.00945626477541371,0.00219202104340202,0,0.00848449385605617,0.00396301188903567,0
"1",22500000,2.3e+07,15,3,4,1,8,9,0,3174,846,4562,734,3418,3028,117,0.00472589792060491,0.00354609929078014,0.000876808417360807,0.00136239782016349,0.00234055002925688,0.00297225891677675,0
"1",2.3e+07,23500000,22,6,10,1,15,5,0,3174,846,4562,734,3418,3028,117,0.00693131695022054,0.00709219858156028,0.00219202104340202,0.00136239782016349,0.00438853130485664,0.00165125495376486,0
"1",23500000,2.4e+07,14,4,10,6,5,2,0,3174,846,4562,734,3418,3028,117,0.00441083805923125,0.00472813238770686,0.00219202104340202,0.00817438692098093,0.00146284376828555,0.000660501981505945,0
"1",2.4e+07,24500000,19,2,7,3,11,0,0,3174,846,4562,734,3418,3028,117,0.00598613736609956,0.00236406619385343,0.00153441473038141,0.00408719346049046,0.0032182562902282,0,0
"1",24500000,2.5e+07,10,4,5,2,4,2,0,3174,846,4562,734,3418,3028,117,0.00315059861373661,0.00472813238770686,0.00109601052170101,0.00272479564032698,0.00117027501462844,0.000660501981505945,0
"1",2.5e+07,25500000,5,0,13,2,9,4,0,3174,846,4562,734,3418,3028,117,0.0015752993068683,0,0.00284962735642262,0.00272479564032698,0.00263311878291398,0.00132100396301189,0
"1",25500000,2.6e+07,5,0,16,2,2,7,2,3174,846,4562,734,3418,3028,117,0.0015752993068683,0,0.00350723366944323,0.00272479564032698,0.000585137507314219,0.00231175693527081,0.0170940170940171
"1",2.6e+07,26500000,4,5,11,1,8,4,0,3174,846,4562,734,3418,3028,117,0.00126023944549464,0.00591016548463357,0.00241122314774222,0.00136239782016349,0.00234055002925688,0.00132100396301189,0
"1",26500000,2.7e+07,7,2,35,8,11,16,0,3174,846,4562,734,3418,3028,117,0.00220541902961563,0.00236406619385343,0.00767207365190706,0.0108991825613079,0.0032182562902282,0.00528401585204756,0
